Activities,,,,,,,,,,,,,,
Start,,,,,,,,,,,,,,
Project ID,CTO.PG.Workpack Number,Project Name,Activity ID,Activity Name,BL Project Start,BL Project Finish,Original Duration,Start,Finish,Remaining Duration,At Completion Duration,Physical % Complete,Total Float,CTO.PG.PPC Planner
    ER7743LT,W527,DNB DPCS Defueling Support,W527.25660,Summary for DNB DPCS Defueling Support,02-Jan-24,02-Jan-29,1016,02-Jan-24 A,01-Mar-29,1016,1312,13%,716,OGAH Alima
    ER7579LT,W193,HNB DPCS Defueling Support,W193.25300,Summary HNB DPCS Defueling Support,02-Jan-24,31-Dec-25,507,02-Jan-24 A,31-Dec-25,211,507,55%,0,OGAH Alima
    ER7582LT,W196,HYA DPCS Defueling Support,W196.25460,Summary of HYA DPCS Defueling Support Plan,02-Jan-24,31-Dec-27,1016,02-Jan-24 A,31-Dec-27,720,1016,10%,759,OGAH Alima
    ER7581LT,W195,HRA DPCS Defueling Support,W195.25720,Summary of HRA DPCS Defueling Support Plan,02-Jan-24,31-Dec-27,1,02-Jan-24 A,31-Dec-27,720,1016,20%,759,OGAH Alima
    ER7003LT,W160,HNB PSR4,W160.9360,## HNB PSR4 Head Doc: Safety Case Development - (B - D) - Cost Summary ##,27-Mar-24,24-Jul-26,435,08-Jan-24 A,18-Nov-25,182,474,40%,1,OGAH Alima
    ER7003LT,W160,HNB PSR4,W160.9350,## HNB PSR4 Head Doc: Project Management - (B - D) - Cost Summary ##,27-Mar-24,24-Jul-26,435,08-Jan-24 A,18-Nov-25,182,474,40%,1,OGAH Alima
 Subtotal,,,,,02-Jan-24,02-Jan-29,1016,02-Jan-24 A,01-Mar-29,1016,1312,,716,OGAH Alima
 01-Feb-24,,,,,,,,,,,,,,
    ER7514LT,W161,HPB PSR4,W161.9350,## HPB PSR4 Head Doc: Project Management - (B - D) - Cost Summary ##,27-Mar-24,27-Jan-27,587,26-Feb-24 A,29-Jun-26,334,591,32%,131,OGAH Alima
    ER7514LT,W161,HPB PSR4,W161.9360,## HPB PSR4 Head Doc: Safety Case Development - (B - D) - Cost Summary ##,27-Mar-24,27-Jan-27,587,26-Feb-24 A,29-Jun-26,334,591,32%,131,OGAH Alima
 Subtotal,W161,,,,27-Mar-24,27-Jan-27,587,26-Feb-24 A,29-Jun-26,334,591,,131,OGAH Alima
 01-Apr-24,,,,,,,,,,,,,,
    ER7514LT,W161,HPB PSR4,W161.5820,HPB PSR4 Head Doc: Authoring of the Submission Proposal,04-Oct-24,26-Feb-25,100,05-Apr-24 A,29-Aug-25,98,354,30%,-66,OGAH Alima
    ER7514LT,W161,HPB PSR4,W161.9390,## HPB PSR4 Head Doc: Authoring of Paper - ## Cost Summary ##,04-Oct-24,11-Mar-25,237,05-Apr-24 A,11-Sep-25,108,364,50%,-66,OGAH Alima
 Subtotal,W161,,,,04-Oct-24,11-Mar-25,237,05-Apr-24 A,11-Sep-25,108,364,,-66,OGAH Alima
 01-May-24,,,,,,,,,,,,,,
    W230LT,W230,HYB Enhanced Defueling Safety Case Strategy,W230.1270,Summary for HYB Fuel Handling Enhanced Safety Cases W230,15-May-24,19-Aug-25,321,15-May-24 A,19-May-26,306,509,0%,0,OGAH Alima
    W234LT,W234,TOR Enhanced Defueling Safety Case Strategy,W234.1270,Summary for TOR Fuel Handling Enhanced Safety Cases W230,15-May-24,19-Aug-25,321,15-May-24 A,19-May-26,306,509,0%,0,OGAH Alima
 Subtotal,,,,,15-May-24,19-Aug-25,321,15-May-24 A,19-May-26,306,509,,0,OGAH Alima
 01-Jun-24,,,,,,,,,,,,,,
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.A2660,Gate C - D Project Management and Engineering Support - Cost Summary,03-Jun-24,30-Apr-25,334,03-Jun-24 A,02-Sep-25,127,318,75%,6,OGAH Alima
 Subtotal,W085,,,,03-Jun-24,30-Apr-25,334,03-Jun-24 A,02-Sep-25,127,318,,6,OGAH Alima
 01-Jul-24,,,,,,,,,,,,,,
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.A7200,ETC (DD-PF),03-Jun-24,30-Apr-25,204,01-Jul-24 A,29-Aug-25,125,296,68%,9,OGAH Alima
    ER7514LT,W161,HPB PSR4,W161.9460,## HPB PSR3 Extension EC: Verification - Cost Summary ##,03-Jul-24,07-Aug-24,303,15-Jul-24 A,09-Sep-25,15,293,75%,-232,OGAH Alima
    ER7003LT,W160,HNB PSR4,W160.9460,## HNB PSR3 Extension EC: Verification - Cost Summary ##,03-Jul-24,07-Aug-24,285,15-Jul-24 A,28-Aug-25,7,285,99%,-224,OGAH Alima
 Subtotal,,,,,03-Jun-24,30-Apr-25,303,01-Jul-24 A,09-Sep-25,132,303,,2,OGAH Alima
 01-Aug-24,,,,,,,,,,,,,,
    ER7514LT,W161,HPB PSR4,W161.9470,## HPB PSR3 Extension EC: Key Stakeholders Engagement - Cost Summary ##,08-Aug-24,20-Sep-24,291,01-Aug-24 A,24-Sep-25,26,291,0%,-243,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.DS20290,Paint Flask Body,02-Aug-24,10-Sep-24,12,23-Aug-24 A,08-May-25,46,178,80%,0,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.DS20140,Cavity Testing,05-Jul-24,15-Jul-24,5,27-Aug-24 A,24-Mar-25,16,147,90%,26,OGAH Alima
 Subtotal,,,,,05-Jul-24,20-Sep-24,291,01-Aug-24 A,24-Sep-25,143,291,,-97,OGAH Alima
 01-Sep-24,,,,,,,,,,,,,,
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.DS21440,Paint Lid Topside,12-Sep-24,02-Oct-24,1,23-Sep-24 A,08-May-25,46,158,50%,7,OGAH Alima
 Subtotal,W085,,,,12-Sep-24,02-Oct-24,1,23-Sep-24 A,08-May-25,46,158,,7,OGAH Alima
 01-Oct-24,,,,,,,,,,,,,,
    ER7582LT,W196,HYA DPCS Defueling Support,W196.6210,"HYA 2024 - Design, Consolidation and Testing",09-Oct-24,28-Mar-25,120,09-Oct-24 A,28-Mar-25,20,120,80%,1459,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.DS24800,Flask 4 - Flask Licensing Prepare Cat C Mod,02-Jul-24,08-Jul-24,5,28-Oct-24 A,28-Mar-25,20,107,15%,10,OGAH Alima
 Subtotal,,,,,02-Jul-24,28-Mar-25,120,09-Oct-24 A,28-Mar-25,20,120,,1459,OGAH Alima
 01-Nov-24,,,,,,,,,,,,,,
    ER7580LT,W194,HPB DPCS Defueling Support,W194.25660,Raise RFS for Decommissioning Rig,27-Nov-24,31-Oct-25,30,27-Nov-24 A,31-Oct-25,170,235,75%,299,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.DS18610,Approve Flask LTQRs,13-Sep-24,26-Sep-24,10,29-Nov-24 A,07-Mar-25,5,68,75%,96,OGAH Alima
    ER7003LT,W160,HNB PSR4,W160.9420,## HNB PSR4 Head Doc: Clearances and Closeout - Cost Summary ##,23-Dec-24,24-Jul-26,245,29-Nov-24 A,18-Nov-25,182,245,1.25%,1,OGAH Alima
    ER7003LT,W160,HNB PSR4,W160.6010,HNB PSR4 Head Doc: Prepare Station Director's Brief,23-Dec-24,31-Dec-24,5,29-Nov-24 A,04-Apr-25,25,88,90%,8,OGAH Alima
 Subtotal,,,,,13-Sep-24,24-Jul-26,247,27-Nov-24 A,18-Nov-25,182,247,,287,OGAH Alima
 01-Dec-24,,,,,,,,,,,,,,
    ER7003LT,W160,HNB PSR4,W160.9410,## HNB PSR4 Head Doc: INSA & NSC Meeting Readiness - Cost Summary ##,07-Feb-25,09-Apr-25,92,04-Dec-24 A,16-Apr-25,32,92,37%,1,OGAH Alima
    ER7003LT,W160,HNB PSR4,W160.5970,HNB PSR4 Head Doc: HNB PSR4 Head Doc: INSA review & iteration of comments (using BARRIER MODEL),07-Feb-25,06-Mar-25,40,04-Dec-24 A,18-Mar-25,12,72,40%,-8,OGAH Alima
 Subtotal,W160,,,,07-Feb-25,09-Apr-25,92,04-Dec-24 A,16-Apr-25,32,92,,1,OGAH Alima
 01-Jan-25,,,,,,,,,,,,,,
    ER7580LT,W194,HPB DPCS Defueling Support,W194.2100,HPB PES Group Support - 2025,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,16%,509,OGAH Alima
    ER7580LT,W194,HPB DPCS Defueling Support,W194.2110,Plant Control Systems & Simulators (PCS&S) Group - 2025,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,16%,509,OGAH Alima
    ER7580LT,W194,HPB DPCS Defueling Support,W194.2250,Thales Long Term Support Contract Q1 2025,02-Jan-25,31-Mar-25,63,02-Jan-25 A,31-Mar-25,21,63,66%,509,OGAH Alima
    ER7581LT,W195,HRA DPCS Defueling Support,W195.2030,HRA PES Group Support - 2025,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,16%,1268,OGAH Alima
    ER7581LT,W195,HRA DPCS Defueling Support,W195.2040,Plant Control Systems & Simulators (PCS&S) Group - 2025,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,16%,1268,OGAH Alima
    ER7581LT,W195,HRA DPCS Defueling Support,W195.2260,Thales Long Term Support Contract Q1 2025,02-Jan-25,31-Mar-25,63,02-Jan-25 A,31-Mar-25,21,63,66%,1268,OGAH Alima
    ER7581LT,W195,HRA DPCS Defueling Support,W195.2630,Argus Support Contract 2025 - Jan Q1,02-Jan-25,31-Mar-25,63,02-Jan-25 A,31-Mar-25,21,63,66%,1268,OGAH Alima
    ER7582LT,W196,HYA DPCS Defueling Support,W196.2030,Plant Control Systems & Simulators (PCS&S) Group - 2025,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,16%,1268,OGAH Alima
    ER7582LT,W196,HYA DPCS Defueling Support,W196.2040,HYA PES Group Support - 2025,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,16%,1268,OGAH Alima
    ER7582LT,W196,HYA DPCS Defueling Support,W196.2270,Thales Long Term Support Contract Q1 2025,02-Jan-25,31-Mar-25,63,02-Jan-25 A,31-Mar-25,21,63,66%,1458,OGAH Alima
    ER7582LT,W196,HYA DPCS Defueling Support,W196.2590,Argus Support Contract - 2025 - Q1,02-Jan-25,31-Mar-25,63,02-Jan-25 A,31-Mar-25,21,63,66%,1458,OGAH Alima
    ER7743LT,W527,DNB DPCS Defueling Support,W527.1493,Worldgrid Software Modification Support (LAMPS) - Q1 2025,02-Jan-25,31-Mar-25,63,02-Jan-25 A,31-Mar-25,21,63,66%,1711,OGAH Alima
    ER7743LT,W527,DNB DPCS Defueling Support,W527.1490,Worldgrid System Engineering Support (SQEP) Q1 2025,02-Jan-25,31-Mar-25,63,02-Jan-25 A,31-Mar-25,21,63,66%,1711,OGAH Alima
    ER7743LT,W527,DNB DPCS Defueling Support,W527.1540,DNB PES Group Support - 2025,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,16%,1521,OGAH Alima
    ER7743LT,W527,DNB DPCS Defueling Support,W527.1550,Plant Control Systems & Simulators (PCS&S) Group - 2025,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,16%,1521,OGAH Alima
    ER7743LT,W527,DNB DPCS Defueling Support,W527.1491,Worldgrid Long Term Support Contract Q1 2025,02-Jan-25,31-Mar-25,63,02-Jan-25 A,31-Mar-25,21,63,66%,1711,OGAH Alima
    ER7743LT,W527,DNB DPCS Defueling Support,W527.1492,Thales POLARIS & AIC Support Contract Q1 2025,02-Jan-25,31-Mar-25,63,02-Jan-25 A,31-Mar-25,21,63,66%,1711,OGAH Alima
    ER7579LT,W193,HNB DPCS Defueling Support,W193.2040,Plant Control Systems & Simulators (PCS&S) Group,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,16%,0,OGAH Alima
    ER7579LT,W193,HNB DPCS Defueling Support,W193.2030,HNB PES Group Support - 2025,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,16%,0,OGAH Alima
    ER7743LT,W527,DNB DPCS Defueling Support,W527.1503,Cost Engineer support 2025,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,66%,1521,OGAH Alima
    W529LT,W529,TOR DPCS Defueling Support,W529.1040,TOR PES Group Support - 2025,02-Jan-25,30-Dec-25,252,02-Jan-25 A,30-Dec-25,210,252,16%,1778,OGAH Alima
    W529LT,W529,TOR DPCS Defueling Support,W529.1050,TOR Plant Control Systems & Simulators (PCS&S) Group - 2025,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,16%,1777,OGAH Alima
    W529LT,W529,TOR DPCS Defueling Support,W529.1200,TOR Argus Support Contract Q1 2025,02-Jan-25,31-Mar-25,63,02-Jan-25 A,31-Mar-25,21,63,66%,1777,OGAH Alima
    W529LT,W529,TOR DPCS Defueling Support,W529.1220,TOR Thales Long Term Support Contract Q1 2025,02-Jan-25,31-Mar-25,1,02-Jan-25 A,31-Mar-25,21,63,66%,1777,OGAH Alima
    W526LT,W526,HYB DPCS Defueling Support,W526.1225,HYB Thales Long Term Support Contract Q1 2025,02-Jan-25,31-Mar-25,63,02-Jan-25 A,31-Mar-25,21,63,66%,1778,OGAH Alima
    W526LT,W526,HYB DPCS Defueling Support,W526.1050,HYB Plant Control Systems & Simulators (PCS&S) Group - 2025,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,16%,1777,OGAH Alima
    W526LT,W526,HYB DPCS Defueling Support,W526.1040,HYB PES Group Support - 2025,02-Jan-25,30-Dec-25,252,02-Jan-25 A,30-Dec-25,210,252,16%,1778,OGAH Alima
    W529LT,W529,TOR DPCS Defueling Support,W529.6310,TOR 2025 S13R2 - Software Build Requirement,02-Jan-25,30-Jun-25,124,02-Jan-25 A,30-Jun-25,82,124,30%,1736,OGAH Alima
    ER7743LT,W527,DNB DPCS Defueling Support,W527.25180,2025 Costs,02-Jan-25,31-Dec-25,253,02-Jan-25 A,03-Mar-25,0,42,16%,1732,OGAH Alima
    W526LT,W526,HYB DPCS Defueling Support,W526.10000,HYB 2025 External Costs,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,16%,1777,OGAH Alima
    W529LT,W529,TOR DPCS Defueling Support,W529.10000,TOR 2025 External Costs,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,8%,1777,OGAH Alima
    ER7580LT,W194,HPB DPCS Defueling Support,W194.25200,2025 External,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,16%,509,OGAH Alima
    ER7579LT,W193,HNB DPCS Defueling Support,W193.25200,2025 Externals,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,16%,0,OGAH Alima
    ER7581LT,W195,HRA DPCS Defueling Support,W195.1020,2025 Externals,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,16%,1268,OGAH Alima
    ER7582LT,W196,HYA DPCS Defueling Support,W196.1020,2025 External,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,16%,1268,OGAH Alima
    ER7580LT,W194,HPB DPCS Defueling Support,W194.25360,TPM and JCRB Meetings Held 2025,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,16%,509,OGAH Alima
    W526LT,W526,HYB DPCS Defueling Support,W526.10160,TPM and JCRB Meeting Held 2025,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,16%,0,OGAH Alima
    ER7581LT,W195,HRA DPCS Defueling Support,W195.25680,TPM and JCRB Meetings Held - 2025,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,16%,759,OGAH Alima
    ER7582LT,W196,HYA DPCS Defueling Support,W196.1225,TPM and JCRB Meetings Held 2025,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,16%,759,OGAH Alima
    ER7743LT,W527,DNB DPCS Defueling Support,W527.4820,TPM and JCRB Meetings Held 2025,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,16%,1012,OGAH Alima
    W529LT,W529,TOR DPCS Defueling Support,W195.1000,TPM and JCRB Meetings Held - 2025,02-Jan-25,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,16%,0,OGAH Alima
    W529LT,W529,TOR DPCS Defueling Support,W529.3010,TOR DPCS Long Term Support Contract 2025,03-Jan-25,31-Dec-25,252,03-Jan-25 A,31-Dec-25,211,252,8%,1777,OGAH Alima
    ER7582LT,W196,HYA DPCS Defueling Support,W196.6350,HYA 2025 - Data Modifications and Amendments,03-Jan-25,31-Dec-25,252,03-Jan-25 A,31-Dec-25,211,252,16%,1268,OGAH Alima
    ER7581LT,W195,HRA DPCS Defueling Support,W195.25610,HRA 2025  - Data Modifications and Amendments,03-Jan-25,31-Dec-25,252,03-Jan-25 A,31-Dec-25,211,252,16%,1268,OGAH Alima
    ER7743LT,W527,DNB DPCS Defueling Support,W527.25610,DNB 2025 2.9 - Site Acceptance Testing,06-Jan-25,30-Jun-25,122,06-Jan-25 A,30-Jun-25,82,122,30%,1594,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.2950,Manufacture Dummy LSM'S,,,1,14-Jan-25 A,28-Mar-25,20,54,75%,114,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.DS2260,Approve Flask LTQRs,25-Oct-24,07-Nov-24,10,20-Jan-25 A,21-Mar-25,15,45,50%,88,OGAH Alima
    ER7743LT,W527,DNB DPCS Defueling Support,W527.25690,DNB 2026 2.10 - Specification,20-Jan-25,03-Oct-25,180,20-Jan-25 A,03-Oct-25,150,180,20%,1404,OGAH Alima
    ER7579LT,W193,HNB DPCS Defueling Support,W193.25320,HNB SQEP declaration,20-Jan-25,11-Apr-25,60,20-Jan-25 A,11-Apr-25,30,60,30%,31,OGAH Alima
 Subtotal,,,,,25-Oct-24,31-Dec-25,253,02-Jan-25 A,31-Dec-25,211,253,,1777,OGAH Alima
 01-Feb-25,,,,,,,,,,,,,,
    W155LT,W155,HRA Security,W155.2590,Implement temporary infrastructure and organisational mitigations required to enable commencement of defuelling,28-Jan-25,05-Nov-26,450,03-Feb-25 A,11-Nov-26,430,450,5%,35,OGAH Alima
    W155LT,W155,HRA Security,W155.2600,Implement permanent infrastructure and organisational mitigations,28-Jan-25,05-Nov-26,450,03-Feb-25 A,11-Nov-26,430,450,5%,35,OGAH Alima
    W730LT_UN,W730,HYB Enhanced Defueling Safety Cases,W730.1270,Summary for HYB Fuel Handling Enhanced Safety Cases W230,03-Feb-25,27-Mar-28,801,03-Feb-25 A,27-Mar-28,781,801,0%,0,OGAH Alima
    ER7581LT,W195,HRA DPCS Defueling Support,W195.1065,"HRA 2024  - Design, Consolidation and Testing",03-Feb-25,28-Mar-25,40,03-Feb-25 A,28-Mar-25,20,40,50%,1404,OGAH Alima
    W230LT,W230,HYB Enhanced Defueling Safety Case Strategy,W230.2050,## HYB Enhanced Defueling Rate: A - D Phase Funding - (Cost Summary) ##,13-Aug-24,16-Jan-25,96,03-Feb-25 A,20-Jun-25,76,96,0%,230,OGAH Alima
    W234LT,W234,TOR Enhanced Defueling Safety Case Strategy,W234.2050,## TOR Enhanced Defueling Rate: A - D Phase Funding - (Cost Summary) ##,13-Aug-24,16-Jan-25,96,03-Feb-25 A,20-Jun-25,76,96,0%,230,OGAH Alima
    W731LT_UN,W731,TOR Enhanced Defueling Safety Cases,W731.1040,Summary for TOR Fuel Handling Enhanced Safety Cases W230,03-Feb-25,27-Mar-28,801,03-Feb-25 A,27-Mar-28,781,801,0%,0,OGAH Alima
    ER7743LT,W527,DNB DPCS Defueling Support,W527.25020,DNB TGN097 POLARIS - Plan Produced,07-Feb-25,03-Apr-25,40,07-Feb-25 A,03-Apr-25,24,40,40%,1708,OGAH Alima
    ER7743LT,W527,DNB DPCS Defueling Support,W527.25100,DNB TGN097 AIC - Plan Produced,07-Feb-25,03-Apr-25,40,07-Feb-25 A,03-Apr-25,24,40,40%,1708,OGAH Alima
    ER7582LT,W196,HYA DPCS Defueling Support,W196.25310,"LSR Data Export, Analysis, Draft Report",23-Jan-25,12-Feb-25,15,17-Feb-25 A,07-Mar-25,5,15,80%,1446,OGAH Alima
    W730LT_UN,W730,HYB Enhanced Defueling Safety Cases,W730.1420,Prepare Draft Project Definition Document (PDD),21-Feb-25,06-Mar-25,10,21-Feb-25 A,06-Mar-25,4,10,80%,3,OGAH Alima
    W730LT_UN,W730,HYB Enhanced Defueling Safety Cases,W730.1430,PCL Validate & Approve Baseline Package for PRC Submission,21-Feb-25,06-Mar-25,10,21-Feb-25 A,06-Mar-25,4,10,80%,3,OGAH Alima
    W730LT_UN,W730,HYB Enhanced Defueling Safety Cases,W730.1440,Add Data to PRC / IMS2 Paper,21-Feb-25,06-Mar-25,10,21-Feb-25 A,06-Mar-25,4,10,80%,3,OGAH Alima
    W730LT_UN,W730,HYB Enhanced Defueling Safety Cases,W730.1450,Update Schedule/Estimate from Risk Log & Add Provisions,21-Feb-25,06-Mar-25,10,21-Feb-25 A,06-Mar-25,4,10,80%,3,OGAH Alima
    W730LT_UN,W730,HYB Enhanced Defueling Safety Cases,W730.1510,Define Project Control Structures (WBS/CBS/OBS/PBS),21-Feb-25,06-Mar-25,10,21-Feb-25 A,06-Mar-25,4,10,80%,3,OGAH Alima
    W731LT_UN,W731,TOR Enhanced Defueling Safety Cases,W731.1080,Define Project Control Structures (WBS/CBS/OBS/PBS),21-Feb-25,06-Mar-25,10,21-Feb-25 A,06-Mar-25,4,10,80%,3,OGAH Alima
    W731LT_UN,W731,TOR Enhanced Defueling Safety Cases,W731.1090,Update Schedule/Estimate from Risk Log & Add Provisions,21-Feb-25,06-Mar-25,10,21-Feb-25 A,06-Mar-25,4,10,80%,3,OGAH Alima
